title,year,description,rank,min_player,max_player,min_time,max_time,avg_rating,num_rating,std_dev_rating,weight,num_comment,num_fan,num_view,total_play,month_play,num_own,num_wish,min_age
Gloomhaven,2017,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,1,1,4,60,120,8.707,51509,1.65,3.88,9091,8363,11543527,430588,226,83201,18396,14
Brass: Birmingham,2018,Build networks; grow industries; and navigate the world of the Industrial Revolution.,2,2,4,60,120,8.656,29812,1.25,3.91,4341,2508,2496821,77733,109,44160,12865,14
Pandemic Legacy: Season 1,2015,Mutating diseases are spreading around the world - can your team save humanity?,3,2,4,60,60,8.578,47259,1.56,2.83,7117,3150,3658924,257022,89,73987,12126,13
Gloomhaven: Jaws of the Lion,2020,Vanquish monsters with strategic cardplay in a 25-scenario Gloomhaven campaign.,4,1,4,30,120,8.603,21472,1.43,3.61,3148,2199,1933968,107064,163,50331,6715,14
Terraforming Mars,2016,Compete with rival CEOs to make Mars habitable and build your corporate empire.,5,1,5,120,120,8.402,80600,1.39,3.25,11660,7350,7018114,483548,427,110997,19989,12
Twilight Imperium: Fourth Edition,2017,Build an intergalactic empire through trade; research; conquest and grand politics.,6,3,6,240,480,8.646,17868,1.62,4.27,2731,2092,2806845,28039,21,22576,9577,14
Ark Nova,2021,Plan and build a modern; scientifically managed zoo to support conservation projects.,7,1,4,90,150,8.651,13752,1.31,3.71,2003,1686,1944609,60821,734,22075,8285,14
Star Wars: Rebellion,2016,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,8,2,4,180,240,8.419,27304,1.37,3.73,4175,2587,3809860,41215,24,42124,11668,14
Gaia Project,2017,Expand; research; upgrade; and settle the galaxy with one of 14 alien species.,9,1,4,60,150,8.448,21434,1.39,4.38,3059,1831,2694672,77967,121,26757,10792,12
Spirit Island,2017,Island Spirits join forces using elemental powers to defend their home from invaders.,10,1,4,90,120,8.369,37061,1.48,4.05,5932,3859,4286495,191894,443,55078,17452,13
War of the Ring: Second Edition,2011,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-Earth.,11,2,4,150,180,8.518,16862,1.48,4.19,2996,2009,3012070,26061,22,27553,9552,13
Through the Ages: A New Story of Civilization,2015,Rewrite history as you build up your civilization in this epic card drafting game!,12,2,4,120,120,8.355,27221,1.51,4.43,4027,1848,3203318,105700,110,31705,8586,14
Great Western Trail,2016,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,13,2,4,75,150,8.277,35426,1.27,3.7,4653,1975,2999091,119305,97,41609,10345,12
Twilight Struggle,2005,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,14,2,2,120,180,8.271,44521,1.58,3.6,9405,4429,5220785,116412,29,61813,11179,13
Dune: Imperium,2020,Influence; intrigue; and combat in the universe of Dune.,15,1,4,60,120,8.334,22984,1.26,3.0,3214,2149,2379834,67578,261,33474,9482,14
Scythe,2016,Five factions vie for dominance in a war-torn; mech-filled; dieselpunk 1920s Europe.,16,1,5,90,115,8.201,69589,1.44,3.43,10520,7098,6782721,244166,141,93413,20247,14
The Castles of Burgundy,2011,Plan; trade; and build your Burgundian estate to prosperity and prominence.,17,2,4,30,90,8.129,53591,1.24,3.0,8629,2934,3544285,261379,183,70099,10699,12
Nemesis,2018,Survive an alien-infested spaceship but beware of other players and their agendas.,18,1,5,90,180,8.35,21139,1.51,3.4,3445,3200,2840648,47808,64,30737,9970,12
7 Wonders Duel,2015,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,19,2,2,30,30,8.104,75850,1.19,2.22,10223,3567,2533690,358096,512,122105,9381,10
Brass: Lancashire,2007,Test your economic mettle as you build and network in the Industrial Revolution.,20,2,4,60,120,8.186,21908,1.36,3.86,4694,1757,2386682,66803,23,28788,5564,14
Concordia,2013,Traders compete to build the greatest empire in the Roman Mediterranean.,21,2,5,100,100,8.119,33916,1.19,3.01,5346,1662,2417864,110410,51,39329,9754,13
A Feast for Odin,2016,Puzzle together the life of a Viking village as you hunt; farm; craft; and explore.,22,1,4,30,120,8.197,22651,1.36,3.85,3533,1455,2311121,77392,103,29721,12035,12
Terra Mystica,2012,Play fantastical factions.,23,2,5,60,150,8.109,43457,1.47,3.97,6423,3426,4411098,140425,64,47405,13216,12
Wingspan,2019,Attract a beautiful and diverse collection of birds to your wildlife reserve.,24,1,5,40,70,8.088,65234,1.34,2.45,8944,4996,3110485,397526,589,98710,15127,10
Arkham Horror: The Card Game,2016,Investigate the horrors of Arkham while courting cosmic doom.,25,1,2,60,120,8.153,36121,1.52,3.5,5691,4309,6638912,230270,297,64940,9095,14
Clank!: Legacy – Acquisitions Incorporated,2019,"""Go forth; be bold; and ACQUIRE!"" in this campaign version of ""Clank!""",26,2,4,90,120,8.639,6274,1.38,2.71,1028,514,697805,37775,76,12360,4774,13
Eclipse: Second Dawn for the Galaxy,2020,Build an interstellar civilization by exploration; research; conquest; and diplomacy.,27,2,6,60,200,8.591,7541,1.34,3.6,1205,1128,1557867,13134,26,11509,5943,14
Root,2018,Decide the fate of the forest as woodland factions fight for contrasting goals.,28,2,4,60,90,8.095,36606,1.43,3.74,5439,3794,3870151,118339,214,55949,16110,10
Viticulture Essential Edition,2015,Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.,29,1,6,45,90,8.038,38765,1.26,2.88,5270,2024,1840360,127992,149,53360,10799,13
Everdell,2018,Gather resources to develop a harmonious village of woodland critters and structures.,30,1,4,40,80,8.084,35583,1.28,2.81,4848,3399,2745468,135186,400,54354,15147,13
Orléans,2014,Craftsmen; scholars & monks can help you reign supreme—but who will turn up to help?,31,2,4,90,90,8.07,26388,1.16,3.04,3902,1305,1895198,80003,64,32695,7575,12
Lost Ruins of Arnak,2020,Explore an island to find resources and discover the lost ruins of Arnak.,32,1,4,30,120,8.102,25197,1.21,2.88,3265,1826,1989010,106991,314,38484,9827,12
Mage Knight Board Game,2011,Build your hero’s spells; abilities; and artifacts as you explore & conquer cities.,33,1,4,60,240,8.093,30428,1.63,4.34,5987,4269,4718901,70268,36,42377,11271,14
Food Chain Magnate,2015,Strategically hire and manage your workforce to outcompete rival fast food chains.,34,2,5,120,240,8.105,16794,1.58,4.21,2895,1200,2060053,41512,18,20832,8631,14
